"Stranger Things","When a young boy disappears, his mother, a police chief, and his friends must confront terrifying supernatural forces in order to get him back.",25,8.8
"Breaking Bad","A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.",62,9.5
"True Detective","Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",24,9
